,2008년12월_총인구수,2009년12월_총인구수,2010년12월_총인구수,2011년12월_총인구수,2012년12월_총인구수,2013년12월_총인구수,2014년12월_총인구수,2015년12월_총인구수,2016년12월_총인구수,2017년12월_총인구수,행정구역
1,20851.0,20790.0,21395.0,21449.0,21527.0,21360.0,21179.0,21129.0,21148.0,21216.0,서울특별시 서초구 서초1동(1165051000)
2,23121.0,23203.0,23491.0,23301.0,23253.0,23324.0,22214.0,21119.0,20915.0,16448.0,서울특별시 서초구 서초2동(1165052000)
3,30165.0,30636.0,31312.0,31114.0,30817.0,30316.0,30310.0,30154.0,29778.0,30132.0,서울특별시 서초구 서초3동(1165053000)
4,28270.0,29702.0,31352.0,30817.0,30598.0,29470.0,28159.0,28772.0,28730.0,30982.0,서울특별시 서초구 서초4동(1165053100)
5,37194.0,37012.0,37310.0,37091.0,35680.0,34480.0,34125.0,33770.0,34809.0,34733.0,서울특별시 서초구 잠원동(1165054000)
6,13570.0,13552.0,13592.0,13487.0,13567.0,13405.0,13406.0,13249.0,12913.0,12787.0,서울특별시 서초구 반포본동(1165055000)
7,19351.0,29587.0,31818.0,33516.0,33966.0,33980.0,33631.0,30466.0,30082.0,28337.0,서울특별시 서초구 반포1동(1165056000)
8,13294.0,20992.0,21990.0,22623.0,21882.0,20048.0,19922.0,19767.0,23353.0,24328.0,서울특별시 서초구 반포2동(1165057000)
9,24498.0,24359.0,24585.0,24517.0,24412.0,24380.0,24100.0,20863.0,19212.0,18671.0,서울특별시 서초구 반포3동(1165058000)
10,20635.0,20559.0,20872.0,20618.0,20370.0,20322.0,20130.0,20193.0,20048.0,19905.0,서울특별시 서초구 반포4동(1165058100)
11,21256.0,21548.0,21949.0,22196.0,22072.0,22107.0,22104.0,21915.0,21763.0,21601.0,서울특별시 서초구 방배본동(1165059000)
12,16430.0,16152.0,17301.0,17089.0,17216.0,17350.0,17328.0,17385.0,17068.0,17176.0,서울특별시 서초구 방배1동(1165060000)
13,28806.0,28390.0,28230.0,27651.0,27589.0,27601.0,28569.0,28122.0,27505.0,27013.0,서울특별시 서초구 방배2동(1165061000)
14,26082.0,26261.0,26529.0,26209.0,25780.0,25446.0,25151.0,24267.0,23931.0,22455.0,서울특별시 서초구 방배3동(1165062000)
15,25792.0,26206.0,26483.0,25905.0,25830.0,25705.0,25825.0,26108.0,26172.0,26047.0,서울특별시 서초구 방배4동(1165062100)
16,26948.0,26712.0,26452.0,26683.0,31589.0,43835.0,47085.0,47463.0,47329.0,46890.0,서울특별시 서초구 양재1동(1165065100)
17,23513.0,23419.0,23696.0,23300.0,23074.0,22636.0,23708.0,23375.0,23524.0,23587.0,서울특별시 서초구 양재2동(1165065200)
18,6544.0,6401.0,6363.0,5998.0,5822.0,5998.0,12732.0,18647.0,18912.0,18794.0,서울특별시 서초구 내곡동(1165066000)
1,20815.0,20783.0,20735.0,20411.0,19996.0,19498.0,18846.0,18303.0,18094.0,17846.0,서울특별시 강남구 신사동(1168051000)
2,26995.0,27023.0,27516.0,26832.0,26051.0,25705.0,25215.0,24765.0,24304.0,23626.0,서울특별시 강남구 논현1동(1168052100)
3,24001.0,23618.0,23965.0,23041.0,22413.0,22260.0,22167.0,22785.0,22358.0,22274.0,서울특별시 강남구 논현2동(1168053100)
4,17173.0,,,,,,,,,,서울특별시 강남구 압구정제1동(1168054000)
5,0.0,28995.0,29655.0,29468.0,29417.0,28983.0,28551.0,28569.0,28202.0,27904.0,서울특별시 강남구 압구정동(1168054500)
6,12058.0,,,,,,,,,,서울특별시 강남구 압구정제2동(1168055000)
7,17946.0,,,,,,,,,,서울특별시 강남구 청담제1동(1168056000)
8,0.0,30827.0,31757.0,31192.0,31477.0,30895.0,31038.0,30828.0,30352.0,30006.0,서울특별시 강남구 청담동(1168056500)
9,12888.0,,,,,,,,,,서울특별시 강남구 청담제2동(1168057000)
10,15498.0,15665.0,15885.0,15809.0,15697.0,15542.0,15471.0,15179.0,14983.0,14864.0,서울특별시 강남구 삼성1동(1168058000)
11,26579.0,31646.0,32653.0,32689.0,32547.0,32117.0,31937.0,31105.0,30748.0,29380.0,서울특별시 강남구 삼성2동(1168059000)
12,25949.0,26102.0,26196.0,20825.0,20349.0,20426.0,19689.0,23179.0,24758.0,25195.0,서울특별시 강남구 대치1동(1168060000)
13,26902.0,45152.0,45061.0,43550.0,42979.0,42268.0,42867.0,42339.0,41864.0,41399.0,서울특별시 강남구 대치2동(1168061000)
14,18091.0,,,,,,,,,,서울특별시 강남구 대치제3동(1168062000)
15,22120.0,22192.0,22217.0,22296.0,22035.0,22058.0,21833.0,21341.0,21013.0,20918.0,서울특별시 강남구 대치4동(1168063000)
16,35566.0,35393.0,35769.0,35258.0,34944.0,35038.0,35232.0,35477.0,35380.0,35616.0,서울특별시 강남구 역삼1동(1168064000)
17,31461.0,31962.0,34825.0,34825.0,35212.0,34766.0,35830.0,35997.0,36746.0,36787.0,서울특별시 강남구 역삼2동(1168065000)
18,21740.0,21626.0,21760.0,22928.0,22744.0,22747.0,22690.0,22543.0,22911.0,22727.0,서울특별시 강남구 도곡1동(1168065500)
19,33846.0,33802.0,34444.0,34403.0,34252.0,35463.0,35488.0,35163.0,34805.0,34756.0,서울특별시 강남구 도곡2동(1168065600)
20,22195.0,22058.0,21992.0,23474.0,23184.0,22734.0,22064.0,21625.0,21101.0,20060.0,서울특별시 강남구 개포1동(1168066000)
21,19389.0,35639.0,35792.0,35186.0,34898.0,34213.0,33377.0,27270.0,21691.0,14648.0,서울특별시 강남구 개포2동(1168067000)
22,16347.0,,,,,,,,,,서울특별시 강남구 개포제3동(1168068000)
23,24270.0,24236.0,24661.0,24197.0,23801.0,23445.0,23011.0,21944.0,18388.0,18375.0,서울특별시 강남구 개포4동(1168069000)
24,5183.0,5348.0,5109.0,10306.0,14314.0,19022.0,35762.0,43108.0,44163.0,44738.0,서울특별시 강남구 세곡동(1168070000)
25,23332.0,23388.0,23476.0,23285.0,23168.0,23012.0,24961.0,25314.0,25072.0,25000.0,서울특별시 강남구 일원본동(1168072000)
26,19571.0,19277.0,19324.0,18969.0,18820.0,18313.0,17713.0,17465.0,17111.0,16944.0,서울특별시 강남구 일원1동(1168073000)
27,20106.0,19920.0,19768.0,19581.0,19179.0,18785.0,18443.0,16566.0,16444.0,16399.0,서울특별시 강남구 일원2동(1168074000)
28,17811.0,17486.0,17535.0,17185.0,16720.0,16309.0,15929.0,15630.0,16627.0,16702.0,서울특별시 강남구 수서동(1168075000)
1,20429.0,19983.0,19818.0,19374.0,19040.0,18547.0,18055.0,17722.0,17031.0,16079.0,서울특별시 송파구 풍납1동(1171051000)
2,29853.0,29423.0,29278.0,28779.0,28683.0,28169.0,27876.0,27063.0,25646.0,25192.0,서울특별시 송파구 풍납2동(1171052000)
3,16253.0,16038.0,16156.0,15902.0,15873.0,15702.0,15329.0,15087.0,14652.0,13356.0,서울특별시 송파구 거여1동(1171053100)
4,30573.0,29796.0,29627.0,28759.0,28315.0,27696.0,27150.0,23951.0,19502.0,17833.0,서울특별시 송파구 거여2동(1171053200)
5,19577.0,19344.0,19398.0,24277.0,24236.0,23526.0,22940.0,23001.0,22674.0,21853.0,서울특별시 송파구 마천1동(1171054000)
6,23764.0,23482.0,23559.0,22812.0,22264.0,22033.0,21553.0,21455.0,20926.0,20670.0,서울특별시 송파구 마천2동(1171055000)
7,17414.0,17337.0,17265.0,17187.0,17199.0,16732.0,16634.0,16465.0,16215.0,16624.0,서울특별시 송파구 방이1동(1171056100)
8,26005.0,25775.0,26110.0,25780.0,25847.0,25636.0,25395.0,25434.0,24969.0,25155.0,서울특별시 송파구 방이2동(1171056200)
9,21264.0,20929.0,20677.0,20588.0,20362.0,20290.0,20089.0,19978.0,19698.0,19547.0,서울특별시 송파구 오륜동(1171056600)
10,39145.0,39394.0,39454.0,38819.0,38537.0,38093.0,37347.0,37104.0,36792.0,37818.0,서울특별시 송파구 오금동(1171057000)
11,27865.0,27323.0,27560.0,27073.0,27318.0,27303.0,26808.0,26608.0,26283.0,25929.0,서울특별시 송파구 송파1동(1171058000)
12,21454.0,20750.0,20682.0,20574.0,22771.0,22666.0,22279.0,22036.0,21756.0,21263.0,서울특별시 송파구 송파2동(1171059000)
13,36092.0,35760.0,35609.0,34999.0,35310.0,35267.0,34915.0,34669.0,34624.0,33844.0,서울특별시 송파구 석촌동(1171060000)
14,35127.0,34979.0,35392.0,34954.0,34870.0,34842.0,34108.0,33889.0,33461.0,33216.0,서울특별시 송파구 삼전동(1171061000)
15,29978.0,29601.0,29812.0,29518.0,29515.0,29231.0,28722.0,28488.0,27979.0,27901.0,서울특별시 송파구 가락본동(1171062000)
16,16136.0,15545.0,15639.0,15420.0,6475.0,1699.0,1207.0,950.0,897.0,889.0,서울특별시 송파구 가락1동(1171063100)
17,36400.0,36513.0,36628.0,36214.0,36085.0,35717.0,35265.0,35217.0,34852.0,34464.0,서울특별시 송파구 가락2동(1171063200)
18,22919.0,22761.0,22822.0,22584.0,22533.0,22454.0,22177.0,21829.0,21460.0,21421.0,서울특별시 송파구 문정1동(1171064100)
19,16751.0,16464.0,16282.0,16081.0,15900.0,18015.0,18064.0,18738.0,23954.0,27428.0,서울특별시 송파구 문정2동(1171064200)
20,33952.0,36734.0,37472.0,37499.0,37504.0,40372.0,45985.0,35738.0,35580.0,35023.0,서울특별시 송파구 장지동(1171064600)
21,0.0,,,,,,,12030.0,17330.0,28211.0,서울특별시 송파구 위례동(1171064700)
22,31393.0,30995.0,31178.0,30424.0,30561.0,30432.0,30194.0,30105.0,29456.0,29268.0,서울특별시 송파구 잠실본동(1171065000)
23,25513.0,35737.0,36841.0,37071.0,36970.0,37104.0,36679.0,36924.0,36729.0,36863.0,서울특별시 송파구 잠실2동(1171067000)
24,37358.0,37391.0,37905.0,37548.0,37376.0,37140.0,36999.0,36891.0,36841.0,36556.0,서울특별시 송파구 잠실3동(1171068000)
25,25935.0,31072.0,31457.0,31596.0,31406.0,31179.0,30741.0,30803.0,30421.0,30328.0,서울특별시 송파구 잠실4동(1171069000)
26,17114.0,17624.0,17743.0,17552.0,17388.0,17942.0,17774.0,17705.0,17596.0,17331.0,서울특별시 송파구 잠실6동(1171071000)
27,10698.0,10726.0,10915.0,10825.0,10777.0,10628.0,10453.0,10422.0,10507.0,10434.0,서울특별시 송파구 잠실7동(1171072000)
1,520.0,19535.0,21527.0,33950.0,34497.0,34346.0,34040.0,33886.0,34201.0,33549.0,서울특별시 강동구 강일동(1174051500)
2,29664.0,28685.0,28769.0,27939.0,27759.0,27302.0,26743.0,24364.0,12668.0,9814.0,서울특별시 강동구 상일동(1174052000)
3,29341.0,28836.0,28974.0,28732.0,28520.0,28310.0,27981.0,23356.0,22966.0,22542.0,서울특별시 강동구 명일제1동(1174053000)
4,19323.0,19235.0,19126.0,18929.0,19040.0,18883.0,18761.0,18647.0,18473.0,18183.0,서울특별시 강동구 명일제2동(1174054000)
5,21217.0,22616.0,23809.0,23134.0,17453.0,17061.0,16726.0,16446.0,16221.0,27504.0,서울특별시 강동구 고덕제1동(1174055000)
6,20067.0,18805.0,18786.0,18287.0,18068.0,17690.0,16898.0,9141.0,8601.0,8093.0,서울특별시 강동구 고덕제2동(1174056000)
7,39904.0,39443.0,39691.0,38977.0,38916.0,38554.0,37864.0,37328.0,37600.0,38103.0,서울특별시 강동구 암사제1동(1174057000)
8,16262.0,16418.0,16486.0,16338.0,16483.0,16407.0,16252.0,16092.0,15438.0,14932.0,서울특별시 강동구 암사제2동(1174058000)
9,16522.0,19436.0,19371.0,19221.0,19065.0,19188.0,19034.0,19218.0,19257.0,18993.0,서울특별시 강동구 암사제3동(1174059000)
10,32723.0,31937.0,32109.0,31448.0,31321.0,30831.0,30137.0,29254.0,29235.0,29457.0,서울특별시 강동구 천호제1동(1174060000)
11,38147.0,38050.0,38726.0,37908.0,37748.0,37261.0,36400.0,36226.0,35374.0,35923.0,서울특별시 강동구 천호제2동(1174061000)
